Department,JobRole,TenureBand,AgeBand,OverTime,TotalEmployees,AttritionCount,AvgSatisfaction,AvgMonthlyIncome,AttritionRate
Human Resources,Human Resources,0-2 yrs,18-25,No,4,2,3.0,2112.75,50.0
Human Resources,Human Resources,0-2 yrs,26-35,No,5,3,2.55,3555.0,60.0
Human Resources,Human Resources,0-2 yrs,26-35,Yes,1,1,2.25,2335.0,100.0
Human Resources,Human Resources,0-2 yrs,36-45,No,1,0,2.5,5985.0,0.0
Human Resources,Human Resources,0-2 yrs,36-45,Yes,1,0,2.75,3195.0,0.0
Human Resources,Human Resources,0-2 yrs,55+,No,1,0,2.75,2267.0,0.0
Human Resources,Human Resources,3-5 yrs,26-35,No,8,1,2.91,3206.88,12.5
Human Resources,Human Resources,3-5 yrs,26-35,Yes,3,2,2.83,4791.67,66.67
Human Resources,Human Resources,3-5 yrs,36-45,No,6,0,2.71,5357.83,0.0
Human Resources,Human Resources,3-5 yrs,36-45,Yes,2,1,2.88,2384.5,50.0
Human Resources,Human Resources,3-5 yrs,46-55,Yes,1,0,2.75,5021.0,0.0
Human Resources,Human Resources,6-10 yrs,26-35,No,3,0,2.67,5140.0,0.0
Human Resources,Human Resources,6-10 yrs,26-35,Yes,2,1,2.75,5789.0,50.0
Human Resources,Human Resources,6-10 yrs,36-45,No,7,0,2.71,4140.43,0.0
Human Resources,Human Resources,6-10 yrs,36-45,Yes,2,0,2.75,4367.0,0.0
Human Resources,Human Resources,6-10 yrs,46-55,No,2,0,3.0,7074.0,0.0
Human Resources,Human Resources,10+ yrs,26-35,Yes,1,0,3.0,6347.0,0.0
Human Resources,Human Resources,10+ yrs,36-45,No,2,1,2.5,6537.0,50.0
Human Resources,Manager,3-5 yrs,46-55,No,1,0,3.25,19658.0,0.0
Human Resources,Manager,3-5 yrs,46-55,Yes,1,0,3.5,17328.0,0.0
Human Resources,Manager,3-5 yrs,55+,No,1,0,3.5,18844.0,0.0
Human Resources,Manager,6-10 yrs,46-55,Yes,1,0,2.25,19636.0,0.0
Human Resources,Manager,6-10 yrs,55+,No,1,0,2.5,19717.0,0.0
Human Resources,Manager,10+ yrs,36-45,No,3,0,2.67,18376.33,0.0
Human Resources,Manager,10+ yrs,36-45,Yes,1,0,3.5,16437.0,0.0
Human Resources,Manager,10+ yrs,46-55,No,1,0,2.25,18200.0,0.0
Human Resources,Manager,10+ yrs,46-55,Yes,1,0,2.5,14026.0,0.0
Research & Development,Healthcare Representative,0-2 yrs,26-35,No,3,1,2.42,7152.33,33.33
Research & Development,Healthcare Representative,0-2 yrs,26-35,Yes,1,0,2.75,6388.0,0.0
Research & Development,Healthcare Representative,0-2 yrs,36-45,No,8,1,2.5,6605.75,12.5
